"train/epoch","robeczech_lr3e-05_bs16_train287 - _step","robeczech_lr3e-05_bs16_train287 - _step__MIN","robeczech_lr3e-05_bs16_train287 - _step__MAX","robeczech_lr3e-05_bs16_train287 - eval/f1","robeczech_lr3e-05_bs16_train287 - eval/f1__MIN","robeczech_lr3e-05_bs16_train287 - eval/f1__MAX","robeczech_lr3e-05_bs16_train30 - _step","robeczech_lr3e-05_bs16_train30 - _step__MIN","robeczech_lr3e-05_bs16_train30 - _step__MAX","robeczech_lr3e-05_bs16_train30 - eval/f1","robeczech_lr3e-05_bs16_train30 - eval/f1__MIN","robeczech_lr3e-05_bs16_train30 - eval/f1__MAX","robeczech_lr3e-05_bs16_train150 - _step","robeczech_lr3e-05_bs16_train150 - _step__MIN","robeczech_lr3e-05_bs16_train150 - _step__MAX","robeczech_lr3e-05_bs16_train150 - eval/f1","robeczech_lr3e-05_bs16_train150 - eval/f1__MIN","robeczech_lr3e-05_bs16_train150 - eval/f1__MAX"
"1","0","0","0","0.0408905043162199","0.0408905043162199","0.0408905043162199","0","0","0","0.005589194224499301","0.005589194224499301","0.005589194224499301","0","0","0","0","0","0"
"2","1","1","1","0.6959036144578313","0.6959036144578313","0.6959036144578313","1","1","1","0","0","0","1","1","1","0.0009652509652509652","0.0009652509652509652","0.0009652509652509652"
"3","2","2","2","0.791203479942001","0.791203479942001","0.791203479942001","2","2","2","0","0","0","2","2","2","0.30017807173747135","0.30017807173747135","0.30017807173747135"
"4","3","3","3","0.8886742332769861","0.8886742332769861","0.8886742332769861","3","3","3","0","0","0","3","3","3","0.5388397246804326","0.5388397246804326","0.5388397246804326"
"5","4","4","4","0.8966682761950748","0.8966682761950748","0.8966682761950748","4","4","4","0","0","0","4","4","4","0.6961566352429296","0.6961566352429296","0.6961566352429296"
"6","5","5","5","0.8973988439306357","0.8973988439306357","0.8973988439306357","5","5","5","0","0","0","5","5","5","0.7673469387755101","0.7673469387755101","0.7673469387755101"
"7","6","6","6","0.9057239057239057","0.9057239057239057","0.9057239057239057","6","6","6","0.009564801530368244","0.009564801530368244","0.009564801530368244","6","6","6","0.8426103646833013","0.8426103646833013","0.8426103646833013"
"8","7","7","7","0.9282964388835419","0.9282964388835419","0.9282964388835419","7","7","7","0.023452157598499064","0.023452157598499064","0.023452157598499064","7","7","7","0.8790786948176583","0.8790786948176583","0.8790786948176583"
"9","8","8","8","0.9359653346172363","0.9359653346172363","0.9359653346172363","8","8","8","0.042611060743427014","0.042611060743427014","0.042611060743427014","8","8","8","0.8880345987506006","0.8880345987506006","0.8880345987506006"
"10","9","9","9","0.9382716049382716","0.9382716049382716","0.9382716049382716","9","9","9","0.0927659574468085","0.0927659574468085","0.0927659574468085","9","9","9","0.8894762133589621","0.8894762133589621","0.8894762133589621"
"11","10","10","10","0.9429676172063799","0.9429676172063799","0.9429676172063799","10","10","10","0.20666666666666667","0.20666666666666667","0.20666666666666667","10","10","10","0.8939138802020689","0.8939138802020689","0.8939138802020689"
"12","11","11","11","0.9364161849710981","0.9364161849710981","0.9364161849710981","11","11","11","0.3317422434367542","0.3317422434367542","0.3317422434367542","11","11","11","0.8946484281257499","0.8946484281257499","0.8946484281257499"
"13","12","12","12","0.9443907156673114","0.9443907156673114","0.9443907156673114","12","12","12","0.3717532467532467","0.3717532467532467","0.3717532467532467","12","12","12","0.8943949963916286","0.8943949963916286","0.8943949963916286"
"14","13","13","13","0.9470134874759153","0.9470134874759153","0.9470134874759153","13","13","13","0.41274736571575427","0.41274736571575427","0.41274736571575427","13","13","13","0.8958534233365478","0.8958534233365478","0.8958534233365478"
"15","14","14","14","0.9479768786127167","0.9479768786127167","0.9479768786127167","14","14","14","0.45513138324243924","0.45513138324243924","0.45513138324243924","14","14","14","0.897065897065897","0.897065897065897","0.897065897065897"
"16","15","15","15","0.9452352231604343","0.9452352231604343","0.9452352231604343","15","15","15","0.5013543462201429","0.5013543462201429","0.5013543462201429","15","15","15","0.8966842864007689","0.8966842864007689","0.8966842864007689"
"17","16","16","16","0.9422565837158734","0.9422565837158734","0.9422565837158734","16","16","16","0.5397530864197531","0.5397530864197531","0.5397530864197531","16","16","16","0.8975468975468975","0.8975468975468975","0.8975468975468975"
"18","18","17","19","0.9494959434883277","0.9464027040077257","0.9525891829689297","17","17","17","0.5791429279167699","0.5791429279167699","0.5791429279167699","17","17","17","0.8995906573561282","0.8995906573561282","0.8995906573561282"
"19","","","","","","","18","18","18","0.6090575275397797","0.6090575275397797","0.6090575275397797","18","18","18","0.905587668593449","0.905587668593449","0.905587668593449"
"20","","","","","","","19","19","19","0.6329235960472402","0.6329235960472402","0.6329235960472402","19","19","19","0.9083473658888621","0.9083473658888621","0.9083473658888621"
"21","","","","","","","20","20","20","0.6522470559961546","0.6522470559961546","0.6522470559961546","20","20","20","0.915743861338469","0.915743861338469","0.915743861338469"
"22","","","","","","","21","21","21","0.6648949021502778","0.6648949021502778","0.6648949021502778","21","21","21","0.9162253249879634","0.9162253249879634","0.9162253249879634"
"23","","","","","","","22","22","22","0.6762414800389484","0.6762414800389484","0.6762414800389484","22","22","22","0.9216346153846153","0.9216346153846153","0.9216346153846153"
"24","","","","","","","23","23","23","0.6815968841285296","0.6815968841285296","0.6815968841285296","23","23","23","0.9223371002644867","0.9223371002644867","0.9223371002644867"
"25","","","","","","","24","24","24","0.6876057018603529","0.6876057018603529","0.6876057018603529","24","24","24","0.9224843524313914","0.9224843524313914","0.9224843524313914"
"26","","","","","","","25","25","25","0.6913461538461538","0.6913461538461538","0.6913461538461538","25","25","25","0.9217809867629363","0.9217809867629363","0.9217809867629363"
"27","","","","","","","26","26","26","0.6954643628509719","0.6954643628509719","0.6954643628509719","26","26","26","0.9229658160808858","0.9229658160808858","0.9229658160808858"
"28","","","","","","","27","27","27","0.6967803940413263","0.6967803940413263","0.6967803940413263","28","28","28","0.9229287090558767","0.9229287090558767","0.9229287090558767"
"29","","","","","","","28","28","28","0.6985807072407987","0.6985807072407987","0.6985807072407987","29","29","29","0.9234841193455245","0.9234841193455245","0.9234841193455245"
"30","","","","","","","30","29","31","0.700056553863196","0.6998963969149303","0.7002167108114616","31","30","32","0.9343195699316531","0.9247053163338946","0.9439338235294117"
