"train/epoch","lilt_robeczech_lr2e-05_bs4_train5 - _step","lilt_robeczech_lr2e-05_bs4_train5 - _step__MIN","lilt_robeczech_lr2e-05_bs4_train5 - _step__MAX","lilt_robeczech_lr2e-05_bs4_train5 - eval/f1","lilt_robeczech_lr2e-05_bs4_train5 - eval/f1__MIN","lilt_robeczech_lr2e-05_bs4_train5 - eval/f1__MAX","lilt_robeczech_lr2e-05_bs4_train30 - _step","lilt_robeczech_lr2e-05_bs4_train30 - _step__MIN","lilt_robeczech_lr2e-05_bs4_train30 - _step__MAX","lilt_robeczech_lr2e-05_bs4_train30 - eval/f1","lilt_robeczech_lr2e-05_bs4_train30 - eval/f1__MIN","lilt_robeczech_lr2e-05_bs4_train30 - eval/f1__MAX","lilt_robeczech_lr2e-05_bs4_train75 - _step","lilt_robeczech_lr2e-05_bs4_train75 - _step__MIN","lilt_robeczech_lr2e-05_bs4_train75 - _step__MAX","lilt_robeczech_lr2e-05_bs4_train75 - eval/f1","lilt_robeczech_lr2e-05_bs4_train75 - eval/f1__MIN","lilt_robeczech_lr2e-05_bs4_train75 - eval/f1__MAX","lilt_robeczech_lr2e-05_bs4_train287 - _step","lilt_robeczech_lr2e-05_bs4_train287 - _step__MIN","lilt_robeczech_lr2e-05_bs4_train287 - _step__MAX","lilt_robeczech_lr2e-05_bs4_train287 - eval/f1","lilt_robeczech_lr2e-05_bs4_train287 - eval/f1__MIN","lilt_robeczech_lr2e-05_bs4_train287 - eval/f1__MAX","lilt_robeczech_lr2e-05_bs4_train150 - _step","lilt_robeczech_lr2e-05_bs4_train150 - _step__MIN","lilt_robeczech_lr2e-05_bs4_train150 - _step__MAX","lilt_robeczech_lr2e-05_bs4_train150 - eval/f1","lilt_robeczech_lr2e-05_bs4_train150 - eval/f1__MIN","lilt_robeczech_lr2e-05_bs4_train150 - eval/f1__MAX"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.07984420642648492","0.07984420642648492","0.07984420642648492","0","0","0","0.3850715033135682","0.3850715033135682","0.3850715033135682","0","0","0","0.24382069543359866","0.24382069543359866","0.24382069543359866"
"2","1","1","1","0.0010116337885685382","0.0010116337885685382","0.0010116337885685382","1","1","1","0","0","0","1","1","1","0.3101289134438306","0.3101289134438306","0.3101289134438306","1","1","1","0.4317355371900826","0.4317355371900826","0.4317355371900826","1","1","1","0.43803863298662704","0.43803863298662704","0.43803863298662704"
"3","2","2","2","0.0020273694880892043","0.0020273694880892043","0.0020273694880892043","2","2","2","0.09926470588235295","0.09926470588235295","0.09926470588235295","2","2","2","0.418854415274463","0.418854415274463","0.418854415274463","2","2","2","0.4937655860349127","0.4937655860349127","0.4937655860349127","2","2","2","0.456868049293658","0.456868049293658","0.456868049293658"
"4","3","3","3","0","0","0","3","3","3","0.21676067687348913","0.21676067687348913","0.21676067687348913","3","3","3","0.42162818955042525","0.42162818955042525","0.42162818955042525","4","4","4","0.566942620610905","0.566942620610905","0.566942620610905","3","3","3","0.4070796460176991","0.4070796460176991","0.4070796460176991"
"5","4","4","4","0","0","0","4","4","4","0.2728306176582039","0.2728306176582039","0.2728306176582039","4","4","4","0.4308416715715127","0.4308416715715127","0.4308416715715127","5","5","5","0.677536231884058","0.677536231884058","0.677536231884058","4","4","4","0.4756302521008403","0.4756302521008403","0.4756302521008403"
"6","5","5","5","0.0020273694880892043","0.0020273694880892043","0.0020273694880892043","5","5","5","0.34423076923076923","0.34423076923076923","0.34423076923076923","5","5","5","0.4506085479762242","0.4506085479762242","0.4506085479762242","6","6","6","0.6722251172485669","0.6722251172485669","0.6722251172485669","5","5","5","0.46674311926605505","0.46674311926605505","0.46674311926605505"
"7","6","6","6","0.004038364462392731","0.004038364462392731","0.004038364462392731","6","6","6","0.36955223880597016","0.36955223880597016","0.36955223880597016","6","6","6","0.41047765793528507","0.41047765793528507","0.41047765793528507","8","8","8","0.6937005865850548","0.6937005865850548","0.6937005865850548","7","7","7","0.48866498740554154","0.48866498740554154","0.48866498740554154"
"8","7","7","7","0.009058882737795673","0.009058882737795673","0.009058882737795673","7","7","7","0.35602748282323543","0.35602748282323543","0.35602748282323543","7","7","7","0.4319758672699849","0.4319758672699849","0.4319758672699849","9","9","9","0.6989690721649485","0.6989690721649485","0.6989690721649485","8","8","8","0.6114101184068892","0.6114101184068892","0.6114101184068892"
"9","8","8","8","0.024570024570024572","0.024570024570024572","0.024570024570024572","8","8","8","0.37667071688942894","0.37667071688942894","0.37667071688942894","9","8","10","0.45063228311532255","0.4506085479762242","0.450656018254421","10","10","10","0.6891191709844559","0.6891191709844559","0.6891191709844559","9","9","9","0.6438035853468433","0.6438035853468433","0.6438035853468433"
"10","9","9","9","0.06502554575011613","0.06502554575011613","0.06502554575011613","9","9","9","0.38414634146341464","0.38414634146341464","0.38414634146341464","","","","","","","11","11","11","0.712082262210797","0.712082262210797","0.712082262210797","10","10","10","0.6521052631578946","0.6521052631578946","0.6521052631578946"
"11","10","10","10","0.08823529411764706","0.08823529411764706","0.08823529411764706","10","10","10","0.39650802590819484","0.39650802590819484","0.39650802590819484","","","","","","","13","13","13","0.7194244604316546","0.7194244604316546","0.7194244604316546","11","11","11","0.6535269709543569","0.6535269709543569","0.6535269709543569"
"12","11","11","11","0.09595735228787206","0.09595735228787206","0.09595735228787206","12","11","13","0.36911193387437713","0.36155315085932527","0.37667071688942894","","","","","","","14","14","14","0.7071172555043522","0.7071172555043522","0.7071172555043522","12","12","12","0.6532195500387897","0.6532195500387897","0.6532195500387897"
"13","12","12","12","0.11508282476024412","0.11508282476024412","0.11508282476024412","","","","","","","","","","","","","15","15","15","0.7196524405826731","0.7196524405826731","0.7196524405826731","13","13","13","0.6659777835184706","0.6659777835184706","0.6659777835184706"
"14","14","13","15","0.10782008399768628","0.08823529411764706","0.1274048738777255","","","","","","","","","","","","","17","17","17","0.7145769622833843","0.7145769622833843","0.7145769622833843","15","15","15","0.6611740473738413","0.6611740473738413","0.6611740473738413"
