"train/epoch","lilt_xlmroberta_lr2e-05_bs4_train75 - _step","lilt_xlmroberta_lr2e-05_bs4_train75 - _step__MIN","lilt_xlmroberta_lr2e-05_bs4_train75 - _step__MAX","lilt_xlmroberta_lr2e-05_bs4_train75 - eval/f1","lilt_xlmroberta_lr2e-05_bs4_train75 - eval/f1__MIN","lilt_xlmroberta_lr2e-05_bs4_train75 - eval/f1__MAX","lilt_xlmroberta_lr2e-05_bs4_train287 - _step","lilt_xlmroberta_lr2e-05_bs4_train287 - _step__MIN","lilt_xlmroberta_lr2e-05_bs4_train287 - _step__MAX","lilt_xlmroberta_lr2e-05_bs4_train287 - eval/f1","lilt_xlmroberta_lr2e-05_bs4_train287 - eval/f1__MIN","lilt_xlmroberta_lr2e-05_bs4_train287 - eval/f1__MAX","lilt_xlmroberta_lr2e-05_bs4_train150 - _step","lilt_xlmroberta_lr2e-05_bs4_train150 - _step__MIN","lilt_xlmroberta_lr2e-05_bs4_train150 - _step__MAX","lilt_xlmroberta_lr2e-05_bs4_train150 - eval/f1","lilt_xlmroberta_lr2e-05_bs4_train150 - eval/f1__MIN","lilt_xlmroberta_lr2e-05_bs4_train150 - eval/f1__MAX","lilt-xlm-roberta_lr2e-05_bs4_train30 - _step","lilt-xlm-roberta_lr2e-05_bs4_train30 - _step__MIN","lilt-xlm-roberta_lr2e-05_bs4_train30 - _step__MAX","lilt-xlm-roberta_lr2e-05_bs4_train30 - eval/f1","lilt-xlm-roberta_lr2e-05_bs4_train30 - eval/f1__MIN","lilt-xlm-roberta_lr2e-05_bs4_train30 - eval/f1__MAX","lilt-xlm-roberta_lr2e-05_bs4_train5 - _step","lilt-xlm-roberta_lr2e-05_bs4_train5 - _step__MIN","lilt-xlm-roberta_lr2e-05_bs4_train5 - _step__MAX","lilt-xlm-roberta_lr2e-05_bs4_train5 - eval/f1","lilt-xlm-roberta_lr2e-05_bs4_train5 - eval/f1__MIN","lilt-xlm-roberta_lr2e-05_bs4_train5 - eval/f1__MAX"
"1","0","0","0","0.07777777777777778","0.07777777777777778","0.07777777777777778","0","0","0","0.18491606113755954","0.18491606113755954","0.18491606113755954","0","0","0","0.44366899302093715","0.44366899302093715","0.44366899302093715","0","0","0","0","0","0","0","0","0","0","0","0"
"2","1","1","1","0.5223587223587224","0.5223587223587224","0.5223587223587224","1","1","1","0.6401937046004842","0.6401937046004842","0.6401937046004842","1","1","1","0.8070770722249153","0.8070770722249153","0.8070770722249153","1","1","1","0.45524806781351285","0.45524806781351285","0.45524806781351285","1","1","1","0","0","0"
"3","2","2","2","0.7215590742996345","0.7215590742996345","0.7215590742996345","2","2","2","0.7791515151515153","0.7791515151515153","0.7791515151515153","2","2","2","0.8901790033865505","0.8901790033865505","0.8901790033865505","2","2","2","0.7133726647000984","0.7133726647000984","0.7133726647000984","2","2","2","0","0","0"
"4","3","3","3","0.842791596232794","0.842791596232794","0.842791596232794","4","4","4","0.9142304904566321","0.9142304904566321","0.9142304904566321","3","3","3","0.920048602673147","0.920048602673147","0.920048602673147","3","3","3","0.8339411621687334","0.8339411621687334","0.8339411621687334","3","3","3","0","0","0"
"5","4","4","4","0.9006815968841285","0.9006815968841285","0.9006815968841285","5","5","5","0.9229277750848279","0.9229277750848279","0.9229277750848279","4","4","4","0.9334945586457074","0.9334945586457074","0.9334945586457074","4","4","4","0.8441747572815533","0.8441747572815533","0.8441747572815533","4","4","4","0","0","0"
"6","5","5","5","0.917953667953668","0.917953667953668","0.917953667953668","6","6","6","0.9495047112829186","0.9495047112829186","0.9495047112829186","5","5","5","0.956773726153103","0.956773726153103","0.956773726153103","5","5","5","0.8831422298121493","0.8831422298121493","0.8831422298121493","5","5","5","0.0009652509652509652","0.0009652509652509652","0.0009652509652509652"
"7","6","6","6","0.9230026550808593","0.9230026550808593","0.9230026550808593","8","8","8","0.9646489104116223","0.9646489104116223","0.9646489104116223","7","7","7","0.9621175327829042","0.9621175327829042","0.9621175327829042","6","6","6","0.9007299270072991","0.9007299270072991","0.9007299270072991","6","6","6","0.03269500233535731","0.03269500233535731","0.03269500233535731"
"8","7","7","7","0.9274174101760309","0.9274174101760309","0.9274174101760309","9","9","9","0.9747695293546821","0.9747695293546821","0.9747695293546821","8","8","8","0.9649334945586457","0.9649334945586457","0.9649334945586457","7","7","7","0.899926953981008","0.899926953981008","0.899926953981008","7","7","7","0.25867738399707707","0.25867738399707707","0.25867738399707707"
"9","8","8","8","0.9329135383870186","0.9329135383870186","0.9329135383870186","10","10","10","0.9794636385600386","0.9794636385600386","0.9794636385600386","9","9","9","0.9718992248062015","0.9718992248062015","0.9718992248062015","8","8","8","0.9030538051381485","0.9030538051381485","0.9030538051381485","8","8","8","0.3639921722113503","0.3639921722113503","0.3639921722113503"
"10","9","9","9","0.9415741187831965","0.9415741187831965","0.9415741187831965","11","11","11","0.9799468470645084","0.9799468470645084","0.9799468470645084","10","10","10","0.9791868344627299","0.9791868344627299","0.9791868344627299","9","9","9","0.9233763074677696","0.9233763074677696","0.9233763074677696","9","9","9","0.37538304392236976","0.37538304392236976","0.37538304392236976"
"11","10","10","10","0.9443099273607749","0.9443099273607749","0.9443099273607749","13","13","13","0.9794139016711068","0.9794139016711068","0.9794139016711068","11","11","11","0.9735757575757576","0.9735757575757576","0.9735757575757576","10","10","10","0.915510104699294","0.915510104699294","0.915510104699294","10","10","10","0.43745203376822717","0.43745203376822717","0.43745203376822717"
"12","11","11","11","0.9504373177842566","0.9504373177842566","0.9504373177842566","15","14","16","0.9799419997952468","0.979937152525985","0.9799468470645084","12","12","12","0.9746192893401016","0.9746192893401016","0.9746192893401016","11","11","11","0.9286403085824495","0.9286403085824495","0.9286403085824495","11","11","11","0.47967684928048476","0.47967684928048476","0.47967684928048476"
"13","12","12","12","0.9617433414043584","0.9617433414043584","0.9617433414043584","","","","","","","14","13","15","0.9771206635379768","0.9750544926132235","0.9791868344627299","12","12","12","0.9162802050280693","0.9162802050280693","0.9162802050280693","12","12","12","0.513358302122347","0.513358302122347","0.513358302122347"
"14","14","14","14","0.9610829103214891","0.9610829103214891","0.9610829103214891","","","","","","","","","","","","","13","13","13","0.924866698982065","0.924866698982065","0.924866698982065","13","13","13","0.5265000000000001","0.5265000000000001","0.5265000000000001"
"15","15","15","15","0.962927065665132","0.962927065665132","0.962927065665132","","","","","","","","","","","","","15","14","16","0.9239050138760844","0.9191697191697192","0.9286403085824495","14","14","14","0.5442312484425617","0.5442312484425617","0.5442312484425617"
"16","16","16","16","0.9608695652173913","0.9608695652173913","0.9608695652173913","","","","","","","","","","","","","","","","","","","15","15","15","0.576456009913259","0.576456009913259","0.576456009913259"
"17","18","17","19","0.9633251603013847","0.9610829103214891","0.9655674102812803","","","","","","","","","","","","","","","","","","","16","16","16","0.5919172005914243","0.5919172005914243","0.5919172005914243"
"18","","","","","","","","","","","","","","","","","","","","","","","","","17","17","17","0.6133398966281073","0.6133398966281073","0.6133398966281073"
"19","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","0.613117170228445","0.613117170228445","0.613117170228445"
