"train/epoch","lilt_xlmroberta_lr2e-05_bs4_train287 - _step","lilt_xlmroberta_lr2e-05_bs4_train287 - _step__MIN","lilt_xlmroberta_lr2e-05_bs4_train287 - _step__MAX","lilt_xlmroberta_lr2e-05_bs4_train287 - eval/f1","lilt_xlmroberta_lr2e-05_bs4_train287 - eval/f1__MIN","lilt_xlmroberta_lr2e-05_bs4_train287 - eval/f1__MAX"
"1","0","0","0","0.18491606113755954","0.18491606113755954","0.18491606113755954"
"2","1","1","1","0.6401937046004842","0.6401937046004842","0.6401937046004842"
"3","2","2","2","0.7791515151515153","0.7791515151515153","0.7791515151515153"
"4","4","4","4","0.9142304904566321","0.9142304904566321","0.9142304904566321"
"5","5","5","5","0.9229277750848279","0.9229277750848279","0.9229277750848279"
"6","6","6","6","0.9495047112829186","0.9495047112829186","0.9495047112829186"
"7","8","8","8","0.9646489104116223","0.9646489104116223","0.9646489104116223"
"8","9","9","9","0.9747695293546821","0.9747695293546821","0.9747695293546821"
"9","10","10","10","0.9794636385600386","0.9794636385600386","0.9794636385600386"
"10","11","11","11","0.9799468470645084","0.9799468470645084","0.9799468470645084"
"11","13","13","13","0.9794139016711068","0.9794139016711068","0.9794139016711068"
"12","15","14","16","0.9799419997952468","0.979937152525985","0.9799468470645084"
